"agent_id","tick_num","agent_type","pos_X","pos_Y","diameter","length","orientation_X","orientation_Y"
"10000","4997","eps","381.9213452652646","402.27654452292035","0.5","0.0","-0.7963148135535701","0.6048823999052566"
"10001","4997","eps","403.5038622431936","391.9064473900029","0.5","0.0","0.7034781114438968","0.7107169244638321"
"10002","4997","eps","383.599843232136","417.2182136460792","0.5","0.0","-0.6444563933437767","-0.7646410642113929"
"10003","4997","eps","396.61174788348467","410.3653874962264","0.5","0.0","-0.7460535503653168","-0.6658859511863167"
"10004","4997","eps","400.1667421254096","432.937574151758","0.5","0.0","0.5886011594453469","0.808423574062257"
"10005","4997","eps","406.10637757635527","393.06569968251245","0.5","0.0","-0.9905833954584855","0.13691068855987049"
"10006","4997","eps","399.11789918458686","368.16276651993894","0.5","0.0","0.78687195727411","0.6171162960541645"
"10007","4997","eps","381.59352733551066","398.9329250558197","0.5","0.0","-0.023165789691338062","0.9997316370846612"
"10008","4997","eps","399.5800380898536","386.04917760989554","0.5","0.0","0.9925404523682527","0.1219157512900785"
"10009","4997","eps","393.07062048409915","383.39760539567783","0.5","0.0","0.9057403067155103","-0.42383310015959497"
"10010","4997","eps","401.939304102013","428.094309266391","0.5","0.0","-0.7894507838511619","0.613813864194013"
"10011","4997","eps","396.76682339710857","405.0528089074284","0.5","0.0","-0.27484933997506134","0.9614873063724103"
"10012","4997","eps","383.3431918150373","413.92102365341816","0.5","0.0","-0.717370635477639","0.6966917333759662"
"10013","4997","eps","383.6393872228396","399.3490824976136","0.5","0.0","-0.9012104213860581","0.43338179055558335"
"10014","4997","eps","388.78853613488644","407.03499429049685","0.5","0.0","-0.09973305238823234","-0.9950142301803157"
"10015","4997","eps","423.89292803038734","395.58180217980106","0.5","0.0","0.9232336651785118","0.3842389874557911"
"10016","4997","eps","386.65221819193425","405.8458507000467","0.5","0.0","-0.6667428992009857","-0.745287801030625"
"10017","4997","eps","404.33792474721884","392.35217052979544","0.5","0.0","-0.8888000347563972","0.4582952085905188"
"10018","4997","eps","399.19533855770453","411.5633401228516","0.5","0.0","0.7706254611859314","0.637288316676189"
"10019","4997","eps","398.6003923419086","384.22511081942883","0.5","0.0","0.9224435036841975","0.38613207910094954"
"10020","4997","eps","431.18270325821516","402.9300257103412","0.5","0.0","0.03320467633245216","-0.9994485726987943"
"10021","4997","eps","402.12698984913374","400.4675835690667","0.5","0.0","-0.7752654702750679","-0.6316355362067415"
"10022","4997","eps","401.1687709065748","430.413462256937","0.5","0.0","0.2900226390642992","-0.9570197849732153"
"10023","4997","eps","395.3401036795437","404.7653233829191","0.5","0.0","-0.12646064472964202","-0.9919716252668538"
"10024","4997","eps","389.103212213631","404.6356111128152","0.5","0.0","0.7411301143762344","0.6713614179893492"
"10025","4997","eps","401.63628296691644","431.2848239301679","0.5","0.0","-0.23818660167755074","0.971219410216507"
"10026","4997","eps","431.3276827778737","407.6681710696621","0.5","0.0","0.2972207541277669","0.9548087888764544"
"10027","4997","eps","402.1280729300381","402.7062748637073","0.5","0.0","0.9756300737255005","0.21942187503158042"
"10028","4997","eps","432.2156609734419","405.6283205500338","0.5","0.0","0.7438454136577046","0.6683517042548768"
"10029","4997","eps","384.1862694868953","396.2595069939597","0.5","0.0","-0.95877775147117","0.28415703982813356"
"10030","4997","eps","371.08809352996394","374.2771623090158","0.5","0.0","-0.8089631607820444","-0.5878593407419195"
"10031","4997","eps","397.63883403042786","405.74639372524024","0.5","0.0","0.824467152925991","-0.5659098106112939"
"10032","4997","eps","395.8414502562874","417.52119687249206","0.5","0.0","0.9505138784959066","0.31068209923757906"
"10033","4997","eps","387.2949908516127","404.3059428108071","0.5","0.0","-0.8751844718836901","-0.48378935516779054"
"10034","4997","eps","419.5959814476267","405.6394281794889","0.5","0.0","0.8252614374120296","0.5647508830631703"
"10035","4997","eps","401.16274130865503","427.3367780211522","0.5","0.0","0.5121342220337841","0.8589054305462568"
"10036","4997","eps","395.9863740343046","406.9987079464194","0.5","0.0","0.4646292457514873","0.8855053156206371"
"10037","4997","eps","394.78038981015345","407.3827985539146","0.5","0.0","0.03587032986992403","-0.9993564526409098"
"10038","4997","eps","423.58775098201767","397.26871162452727","0.5","0.0","0.8677337135704687","0.4970293777365719"
"10039","4997","eps","406.06877556969164","393.6813291996158","0.5","0.0","-0.9972348663812979","0.07431434096777702"
"10040","4997","eps","386.79886815120864","381.88864168565965","0.5","0.0","0.5478201924891445","-0.8365961012944997"
"10041","4997","eps","398.8199988067279","409.8864540216358","0.5","0.0","-0.9735327131378643","0.22854771154056416"
"10042","4997","eps","402.6761409695015","431.3216149202311","0.5","0.0","-0.7410561544563646","-0.6714430548768411"
"10043","4997","eps","383.9337883228543","394.3178611448007","0.5","0.0","0.007457379557118836","0.9999721933584659"
"10044","4997","eps","396.2325910253263","406.2909037845114","0.5","0.0","0.8212893450428143","0.5705118856948954"
"10045","4997","eps","382.37154906988263","402.86101646772374","0.5","0.0","0.9273612929611148","0.3741671181671227"
"10046","4997","eps","403.4729199546941","436.79554616510416","0.5","0.0","0.9864495134460003","0.1640651011706918"
"10047","4997","eps","394.45749253102764","408.09814601858886","0.5","0.0","-0.2776542900419242","0.960681058011094"
"10048","4997","eps","416.7398672685502","404.32459374604633","0.5","0.0","0.7454114591467325","0.6666046478781401"
"10049","4997","eps","407.40839732435137","372.44024228409864","0.5","0.0","0.9160169407712638","-0.4011395819662464"
"10050","4997","eps","385.8146505780202","429.4566981761067","0.5","0.0","-0.9014459319896225","-0.4328917089750748"
